Month,Number of Bicycle Hires
Jul-10,12461
Aug-10,341203
Sep-10,540859
Oct-10,544412
Nov-10,456304
Dec-10,285574
Jan-11,403178
Feb-11,398292
Mar-11,556155
Apr-11,673639
May-11,722072
Jun-11,638717
Jul-11,708454
Aug-11,642440
Sep-11,684780
Oct-11,708802
Nov-11,597191
Dec-11,408729
Jan-12,494325
Feb-12,481826
Mar-12,818209
Apr-12,649473
May-12,926952
Jun-12,858805
Jul-12,1014174
Aug-12,1163171
Sep-12,1015145
Oct-12,856866
Nov-12,726893
Dec-12,513444
Jan-13,565589
Feb-13,516588
Mar-13,504611
Apr-13,658230
May-13,749934
Jun-13,813631
Jul-13,998755
Aug-13,904155
Sep-13,701724
Oct-13,674154
Nov-13,514146
Dec-13,443942
Jan-14,493870
Feb-14,522940
Mar-14,757864
Apr-14,805571
May-14,890709
Jun-14,1052573
Jul-14,1183182
Aug-14,1055206
Sep-14,1058684
Oct-14,907998
Nov-14,715447
Dec-14,579853
Jan-15,583663
Feb-15,549278
Mar-15,701384
Apr-15,838543
May-15,899969
Jun-15,1039768
Jul-15,1134816
Aug-15,1042932
Sep-15,903429
Oct-15,885375
Nov-15,684518
Dec-15,608164
Jan-16,586325
Feb-16,597641
Mar-16,664485
Apr-16,763308
May-16,1013666
Jun-16,963232
Jul-16,1188428
Aug-16,1158393
Sep-16,1053039
Oct-16,945143
Nov-16,711002
Dec-16,658975
Jan-17,638491
Feb-17,618550
Mar-17,819752
Apr-17,917716
May-17,992601
Jun-17,1098294
Jul-17,1131838
Aug-17,994199
Sep-17,934751
Oct-17,973682
Nov-17,792082
Dec-17,534088
Jan-18,645901
Feb-18,576425
Mar-18,604921
Apr-18,824737
May-18,1112686
Jun-18,1181642
Jul-18,1253102
Aug-18,1058181
Sep-18,1008201
Oct-18,978290
Nov-18,738024
